variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_12711	8.29E-01	5.38E-01	6.81E-01	-5.83E-02	1.42E-01	2.39E-02	
group_12504	8.29E-01	5.38E-01	6.81E-01	-5.83E-02	1.42E-01	2.39E-02	
group_12369	8.29E-01	5.38E-01	6.81E-01	-5.83E-02	1.42E-01	2.39E-02	
group_11647	8.29E-01	5.38E-01	6.81E-01	-5.83E-02	1.42E-01	2.39E-02	
group_11615	8.29E-01	5.38E-01	4.98E-01	-7.63E-02	1.12E-01	3.93E-02	
group_11076	8.29E-01	5.38E-01	3.86E-02	-2.37E-01	1.14E-01	1.20E-01	
group_10366	8.29E-01	5.38E-01	4.98E-01	-7.63E-02	1.12E-01	3.93E-02	
group_10348	8.29E-01	3.54E-04	8.71E-03	2.16E-01	8.16E-02	1.51E-01	
group_9899	8.29E-01	4.11E-03	2.16E-01	2.11E-01	1.70E-01	7.17E-02	
group_8370	8.29E-01	5.38E-01	6.81E-01	-5.83E-02	1.42E-01	2.39E-02	
lysR~~~gltC	8.29E-01	1.08E-02	9.39E-01	-1.31E-02	1.72E-01	4.42E-03	
group_7977	8.29E-01	1.14E-01	9.03E-01	1.74E-02	1.43E-01	7.06E-03	
group_7762	8.29E-01	9.77E-01	2.01E-01	-1.36E-01	1.06E-01	7.42E-02	
group_5870	8.29E-01	5.70E-02	7.37E-01	3.98E-02	1.18E-01	1.95E-02	
group_5280	8.29E-01	5.38E-01	6.81E-01	-5.83E-02	1.42E-01	2.39E-02	
group_4885	8.29E-01	1.08E-02	9.39E-01	-1.31E-02	1.72E-01	4.42E-03	
group_20254	8.26E-01	3.07E-03	2.27E-01	1.55E-01	1.28E-01	7.01E-02	
fabA	8.26E-01	3.07E-03	2.27E-01	1.55E-01	1.28E-01	7.01E-02	
group_20188	8.26E-01	3.07E-03	2.27E-01	1.55E-01	1.28E-01	7.01E-02	
group_20187	8.26E-01	3.07E-03	2.27E-01	1.55E-01	1.28E-01	7.01E-02	
group_20091	8.26E-01	9.26E-02	5.99E-01	-6.33E-02	1.20E-01	3.05E-02	
group_19975	8.26E-01	3.07E-03	2.27E-01	1.55E-01	1.28E-01	7.01E-02	
group_19974	8.26E-01	3.07E-03	2.27E-01	1.55E-01	1.28E-01	7.01E-02	
group_19663	8.26E-01	3.07E-03	2.27E-01	1.55E-01	1.28E-01	7.01E-02	
group_19432	8.26E-01	3.07E-03	2.27E-01	1.55E-01	1.28E-01	7.01E-02	
group_19386	8.26E-01	3.07E-03	2.27E-01	1.55E-01	1.28E-01	7.01E-02	
group_16388	8.26E-01	4.70E-01	4.54E-01	-9.34E-02	1.25E-01	4.35E-02	
group_13571	8.26E-01	1.73E-01	9.38E-01	-1.07E-02	1.38E-01	4.49E-03	
group_13430	8.26E-01	9.26E-02	5.15E-01	6.73E-02	1.03E-01	3.78E-02	
hasA	8.26E-01	9.26E-02	8.85E-01	-1.69E-02	1.17E-01	8.36E-03	
shlB	8.26E-01	1.73E-01	9.38E-01	-1.07E-02	1.38E-01	4.49E-03	
prsD	8.26E-01	9.26E-02	8.85E-01	-1.69E-02	1.17E-01	8.36E-03	
group_11798	8.26E-01	2.80E-10	1.23E-04	-2.56E-01	6.57E-02	2.20E-01	
tolC~~~hlyD	8.26E-01	9.26E-02	8.85E-01	-1.69E-02	1.17E-01	8.36E-03	
czcC~~~tolC	8.26E-01	4.70E-01	7.58E-01	-4.18E-02	1.36E-01	1.79E-02	
melB~~~yhjE	8.26E-01	4.70E-01	4.69E-01	-7.40E-02	1.02E-01	4.20E-02	
group_9347	8.26E-01	4.70E-01	9.49E-02	-1.81E-01	1.08E-01	9.68E-02	
group_5937	8.26E-01	2.03E-02	9.07E-01	-1.33E-02	1.14E-01	6.81E-03	
group_19864	8.23E-01	2.29E-03	2.15E-01	1.53E-01	1.23E-01	7.19E-02	
group_19628	8.23E-01	2.29E-03	2.15E-01	1.53E-01	1.23E-01	7.19E-02	
group_19483	8.23E-01	6.09E-01	4.18E-01	-8.70E-02	1.07E-01	4.70E-02	
group_16629	8.23E-01	1.43E-01	3.40E-01	-1.13E-01	1.18E-01	5.54E-02	
group_15753	8.23E-01	2.52E-01	6.86E-01	3.36E-02	8.29E-02	2.35E-02	
group_13966	8.23E-01	7.50E-02	4.86E-01	7.00E-02	1.00E-01	4.05E-02	
group_13609	8.26E-01	2.32E-01	4.71E-02	-2.10E-01	1.05E-01	1.15E-01	
group_12566	8.23E-01	6.09E-01	1.65E-02	-2.48E-01	1.03E-01	1.39E-01	
group_11075	8.23E-01	6.60E-01	7.59E-03	-2.85E-01	1.06E-01	1.54E-01	
group_10666	8.23E-01	1.57E-02	6.52E-01	-5.81E-02	1.29E-01	2.62E-02	
group_10396	8.23E-01	1.57E-02	6.52E-01	-5.81E-02	1.29E-01	2.62E-02	
group_9728	8.23E-01	7.50E-02	9.67E-01	5.01E-03	1.23E-01	2.37E-03	
group_9659	8.23E-01	1.57E-02	6.52E-01	-5.81E-02	1.29E-01	2.62E-02	
