variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_3417	1.58E-01	4.59E-03	4.76E-01	-4.72E-02	6.61E-02	4.15E-02	
group_3313	1.58E-01	1.51E-02	4.47E-01	-5.34E-02	7.02E-02	4.43E-02	
group_3312	1.58E-01	1.51E-02	4.47E-01	-5.34E-02	7.02E-02	4.43E-02	
group_3233	1.58E-01	4.59E-03	4.76E-01	-4.72E-02	6.61E-02	4.15E-02	
ecsC	1.62E-01	3.89E-03	4.47E-01	-5.09E-02	6.69E-02	4.43E-02	
group_1247	1.58E-01	4.59E-03	4.76E-01	-4.72E-02	6.61E-02	4.15E-02	
group_20754	1.58E-01	4.59E-03	2.96E-01	-6.45E-02	6.15E-02	6.09E-02	
group_17373	1.58E-01	2.71E-04	1.14E-01	-1.22E-01	7.68E-02	9.19E-02	bad-chisq
group_16843	1.58E-01	2.71E-04	1.14E-01	-1.22E-01	7.68E-02	9.19E-02	bad-chisq
group_16418	1.52E-01	1.35E-01	3.22E-01	6.11E-02	6.15E-02	5.77E-02	
group_15453	1.52E-01	1.70E-03	5.90E-01	-6.06E-02	1.13E-01	3.14E-02	bad-chisq
group_13282	1.55E-01	1.19E-01	3.21E-01	6.13E-02	6.17E-02	5.78E-02	
group_12934	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
group_12621	1.58E-01	4.59E-03	4.55E-01	-4.89E-02	6.53E-02	4.35E-02	
group_12193	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
group_11945	1.58E-01	4.59E-03	5.98E-01	-5.57E-02	1.05E-01	3.07E-02	
phd	1.58E-01	4.59E-03	4.55E-01	-4.89E-02	6.53E-02	4.35E-02	
group_11787	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
group_11198	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
group_11197	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
group_10547	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
ribX	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
group_10435	1.55E-01	1.19E-01	3.21E-01	6.13E-02	6.17E-02	5.78E-02	
group_9610	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
group_9609	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
tauB	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
group_7742	1.55E-01	4.93E-02	7.22E-01	2.38E-02	6.67E-02	2.07E-02	
group_7120	1.58E-01	6.80E-01	3.17E-01	6.55E-02	6.53E-02	5.83E-02	
group_4219	1.55E-01	4.93E-02	7.22E-01	2.38E-02	6.67E-02	2.07E-02	
group_3942	1.58E-01	3.63E-22	2.24E-04	3.02E-01	8.09E-02	2.13E-01	
merT	1.52E-01	1.35E-01	3.22E-01	6.11E-02	6.15E-02	5.77E-02	
group_23573	1.55E-01	6.33E-01	2.21E-02	1.52E-01	6.60E-02	1.33E-01	
group_23389	1.52E-01	1.35E-01	3.22E-01	6.11E-02	6.15E-02	5.77E-02	
group_21662	1.52E-01	1.35E-01	3.22E-01	6.11E-02	6.15E-02	5.77E-02	
group_21395	1.55E-01	6.33E-01	2.21E-02	1.52E-01	6.60E-02	1.33E-01	
group_19835	1.52E-01	5.67E-02	7.22E-01	2.37E-02	6.65E-02	2.07E-02	
group_18865	1.52E-01	1.70E-03	1.02E-01	-2.20E-01	1.34E-01	9.51E-02	bad-chisq
allR~~~iclR	1.52E-01	1.70E-03	1.02E-01	-2.20E-01	1.34E-01	9.51E-02	bad-chisq
group_18794	1.52E-01	1.70E-03	1.02E-01	-2.20E-01	1.34E-01	9.51E-02	bad-chisq
group_18793	1.52E-01	1.70E-03	1.02E-01	-2.20E-01	1.34E-01	9.51E-02	bad-chisq
group_18710	1.52E-01	1.70E-03	1.02E-01	-2.20E-01	1.34E-01	9.51E-02	bad-chisq
group_17440	1.45E-01	1.73E-01	3.86E-01	5.75E-02	6.63E-02	5.05E-02	
group_16889	1.45E-01	1.73E-01	3.86E-01	5.75E-02	6.63E-02	5.05E-02	
group_16463	1.45E-01	7.50E-02	6.73E-01	2.66E-02	6.28E-02	2.46E-02	
group_16105	1.52E-01	3.87E-04	8.54E-03	-1.84E-01	6.95E-02	1.52E-01	bad-chisq
group_15968	1.52E-01	1.35E-01	3.22E-01	6.11E-02	6.15E-02	5.77E-02	
copD	1.52E-01	5.67E-02	7.22E-01	2.37E-02	6.65E-02	2.07E-02	
