variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_15436	5.12E-02	3.67E-01	9.17E-01	2.32E-02	2.24E-01	6.08E-03	
group_15307	5.12E-02	7.86E-01	4.98E-01	7.78E-02	1.15E-01	3.98E-02	
group_14252	5.80E-02	5.97E-01	9.22E-01	1.04E-02	1.06E-01	5.76E-03	
group_14145	5.80E-02	5.97E-01	5.43E-01	6.29E-02	1.03E-01	3.57E-02	
group_13925	5.80E-02	5.97E-01	9.38E-01	8.36E-03	1.07E-01	4.57E-03	
icmH~~~dotU	5.12E-02	3.04E-02	2.57E-02	-4.50E-01	2.01E-01	1.30E-01	bad-chisq
group_12000	5.80E-02	8.58E-02	5.53E-01	-6.64E-02	1.12E-01	3.48E-02	bad-chisq
traR	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
traI~~~mobH	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_11286	5.80E-02	2.61E-01	3.64E-01	-9.95E-02	1.09E-01	5.32E-02	
group_11056	5.46E-02	3.10E-01	4.57E-01	-1.05E-01	1.40E-01	4.36E-02	
group_10531	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_8663	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_8461	5.80E-02	8.58E-02	5.53E-01	-6.64E-02	1.12E-01	3.48E-02	bad-chisq
group_8196	5.80E-02	5.97E-01	5.43E-01	6.29E-02	1.03E-01	3.57E-02	
group_7716	5.12E-02	1.25E-01	4.32E-01	-8.45E-02	1.07E-01	4.60E-02	bad-chisq
group_7492	5.80E-02	5.97E-01	7.41E-01	3.40E-02	1.03E-01	1.94E-02	
group_7480	5.12E-02	1.25E-01	2.56E-01	-1.25E-01	1.10E-01	6.65E-02	bad-chisq
group_7408	5.46E-02	2.51E-02	1.40E-01	-1.58E-01	1.07E-01	8.63E-02	bad-chisq
group_7203	5.80E-02	8.58E-02	1.53E-01	-1.79E-01	1.25E-01	8.36E-02	bad-chisq
bamD	5.12E-02	1.25E-01	3.13E-01	-2.09E-01	2.07E-01	5.91E-02	bad-chisq
group_6122	5.80E-02	8.58E-02	5.60E-02	-2.42E-01	1.26E-01	1.12E-01	bad-chisq
tfdA	5.12E-02	1.25E-01	2.56E-01	-1.25E-01	1.10E-01	6.65E-02	bad-chisq
group_5814	5.46E-02	4.12E-01	3.15E-01	1.16E-01	1.15E-01	5.89E-02	
group_4374	5.46E-02	6.87E-01	3.91E-01	9.59E-02	1.12E-01	5.02E-02	
dnrC	5.46E-02	3.10E-01	4.57E-01	-1.05E-01	1.40E-01	4.36E-02	
group_4105	5.46E-02	3.10E-01	4.57E-01	-1.05E-01	1.40E-01	4.36E-02	
group_4040	5.46E-02	3.10E-01	4.51E-01	-1.05E-01	1.39E-01	4.42E-02	
