variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
yraI	9.76E-02	8.86E-02	4.11E-01	-7.54E-02	9.15E-02	4.79E-02	
group_18303	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18299	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18109	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18108	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_17843	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_17842	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_17701	9.43E-02	1.16E-03	7.61E-02	-1.52E-01	8.55E-02	1.03E-01	
group_17551	9.76E-02	6.36E-01	3.44E-01	8.42E-02	8.89E-02	5.51E-02	
group_17549	9.76E-02	3.46E-02	3.63E-01	-9.44E-02	1.04E-01	5.30E-02	
group_17508	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_17507	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_17078	9.76E-02	3.46E-02	3.63E-01	-9.44E-02	1.04E-01	5.30E-02	
wbuZ	9.76E-02	3.46E-02	3.63E-01	-9.44E-02	1.04E-01	5.30E-02	
group_17014	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_16896	9.76E-02	3.46E-02	3.63E-01	-9.44E-02	1.04E-01	5.30E-02	
group_16726	9.09E-02	6.32E-05	4.62E-01	-2.80E-01	3.81E-01	4.28E-02	bad-chisq
group_16329	9.43E-02	4.62E-03	4.30E-01	-8.23E-02	1.04E-01	4.60E-02	
group_16235	1.01E-01	5.96E-04	5.45E-01	-9.27E-02	1.53E-01	3.53E-02	
group_15820	9.76E-02	3.46E-02	3.63E-01	-9.44E-02	1.04E-01	5.30E-02	
