variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_19209	8.00E-02	5.98E-01	3.91E-01	1.19E-01	1.39E-01	4.97E-02	
lutR~~~fadR	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
group_19003	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
group_19002	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
group_18953	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
group_18952	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
group_18915	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
group_18914	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
tagG	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
group_18860	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
kpsE	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
vexE~~~bepA	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
pelB	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
group_17296	8.00E-02	1.77E-05	9.96E-01	-3.77E-03	6.82E-01	3.20E-04	
fabB	8.00E-02	1.77E-05	7.38E-01	-9.59E-02	2.87E-01	1.94E-02	
group_16756	8.00E-02	8.06E-04	4.14E-01	-3.76E-01	4.60E-01	4.73E-02	
group_16744	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
group_16512	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
group_16501	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
group_15529	8.00E-02	1.33E-04	3.93E-01	-4.11E-01	4.81E-01	4.95E-02	
group_15522	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
sGA1	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
group_14313	8.00E-02	3.76E-01	3.58E-01	7.60E-02	8.26E-02	5.32E-02	
group_13339	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
group_13000	8.00E-02	5.25E-02	1.09E-01	-1.72E-01	1.07E-01	9.28E-02	
group_12876	8.00E-02	1.77E-05	1.95E-04	-3.86E-01	1.02E-01	2.14E-01	
group_12871	8.00E-02	8.06E-04	4.46E-01	-1.21E-01	1.58E-01	4.42E-02	
group_12682	7.67E-02	2.75E-02	4.19E-01	1.03E-01	1.27E-01	4.69E-02	
group_12209	7.67E-02	7.76E-01	7.06E-01	-4.72E-02	1.25E-01	2.19E-02	
group_12122	8.00E-02	1.77E-05	1.95E-04	-3.86E-01	1.02E-01	2.14E-01	
group_12118	8.00E-02	8.06E-04	4.46E-01	-1.21E-01	1.58E-01	4.42E-02	
group_11381	8.00E-02	1.42E-01	5.72E-01	5.78E-02	1.02E-01	3.28E-02	
darT	8.00E-02	8.06E-04	2.21E-02	-3.31E-01	1.44E-01	1.32E-01	
group_11234	7.67E-02	7.76E-01	7.06E-01	-4.72E-02	1.25E-01	2.19E-02	
group_11186	8.00E-02	8.06E-04	2.21E-02	-3.31E-01	1.44E-01	1.32E-01	
ubiG	8.00E-02	1.60E-02	3.81E-01	4.39E-01	5.00E-01	5.08E-02	
group_9790	8.00E-02	8.06E-04	2.21E-02	-3.31E-01	1.44E-01	1.32E-01	
group_9668	8.00E-02	6.79E-02	1.52E-01	1.49E-01	1.04E-01	8.29E-02	
group_9657	7.67E-02	7.76E-01	7.06E-01	-4.72E-02	1.25E-01	2.19E-02	
group_9595	8.00E-02	8.06E-04	2.21E-02	-3.31E-01	1.44E-01	1.32E-01	
group_8976	8.00E-02	3.18E-01	3.89E-01	8.83E-02	1.02E-01	4.99E-02	
group_8099	8.00E-02	1.42E-01	4.40E-01	9.83E-02	1.27E-01	4.48E-02	
group_7978	8.00E-02	3.97E-03	4.73E-02	-2.84E-01	1.43E-01	1.15E-01	
group_7449	8.00E-02	8.06E-04	2.21E-02	-3.31E-01	1.44E-01	1.32E-01	
group_7201	7.67E-02	7.76E-01	7.06E-01	-4.72E-02	1.25E-01	2.19E-02	
group_7200	7.67E-02	7.76E-01	7.06E-01	-4.72E-02	1.25E-01	2.19E-02	
group_7098	8.00E-02	8.06E-04	2.21E-02	-3.31E-01	1.44E-01	1.32E-01	
group_6392	8.00E-02	1.60E-02	2.05E-01	-2.28E-01	1.80E-01	7.34E-02	
group_5694	8.00E-02	8.06E-04	9.24E-02	-1.82E-01	1.08E-01	9.73E-02	
group_5415	8.00E-02	3.18E-01	3.89E-01	8.83E-02	1.02E-01	4.99E-02	
group_4860	8.00E-02	8.06E-04	2.21E-02	-3.31E-01	1.44E-01	1.32E-01	
group_4674	8.00E-02	3.18E-01	3.89E-01	8.83E-02	1.02E-01	4.99E-02	
