variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_22319	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_20890	1.21E-01	4.54E-05	9.13E-01	-4.96E-02	4.54E-01	6.36E-03	bad-chisq
yeaN~~~cynX	1.21E-01	4.54E-05	9.13E-01	-4.96E-02	4.54E-01	6.36E-03	bad-chisq
group_19781	1.14E-01	1.64E-03	1.09E-01	-1.49E-01	9.25E-02	9.33E-02	
group_18995	1.21E-01	4.54E-05	4.60E-01	2.98E-01	4.03E-01	4.30E-02	bad-chisq
group_18976	1.21E-01	4.54E-05	9.25E-01	-3.57E-02	3.77E-01	5.52E-03	bad-chisq
group_18900	1.21E-01	4.54E-05	9.06E-01	-5.51E-02	4.65E-01	6.89E-03	bad-chisq
group_18036	1.21E-01	4.54E-05	9.55E-01	-2.51E-02	4.48E-01	3.27E-03	bad-chisq
group_17685	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_17675	1.21E-01	4.54E-05	9.16E-01	-4.73E-02	4.46E-01	6.17E-03	bad-chisq
group_17404	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_17264	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_16757	1.21E-01	4.54E-05	9.06E-01	-5.51E-02	4.65E-01	6.89E-03	bad-chisq
group_16570	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_16490	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_16118	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
luxR~~~lasR	1.21E-01	4.54E-05	9.20E-01	-3.93E-02	3.91E-01	5.85E-03	bad-chisq
group_15360	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_15324	1.21E-01	4.54E-05	8.29E-01	-6.38E-02	2.96E-01	1.26E-02	bad-chisq
group_15312	1.18E-01	2.96E-04	3.17E-01	-1.01E-01	1.01E-01	5.82E-02	
group_14546	1.21E-01	9.00E-04	2.31E-01	-2.39E-01	1.99E-01	6.97E-02	
group_14539	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_14496	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_13978	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_13397	1.18E-01	8.69E-01	8.51E-01	1.68E-02	8.96E-02	1.09E-02	
pcaQ	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_12707	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_12513	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_12434	1.21E-01	5.05E-01	5.87E-01	5.22E-02	9.60E-02	3.16E-02	
group_12433	1.21E-01	5.05E-01	5.87E-01	5.22E-02	9.60E-02	3.16E-02	
group_11962	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_11816	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
pcaG	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_11535	1.21E-01	5.05E-01	5.87E-01	5.22E-02	9.60E-02	3.16E-02	
group_11534	1.21E-01	5.05E-01	5.87E-01	5.22E-02	9.60E-02	3.16E-02	
group_11465	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_11398	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_11397	1.18E-01	5.47E-01	5.08E-03	2.63E-01	9.30E-02	1.62E-01	
group_11085	1.21E-01	4.54E-05	9.24E-01	-3.43E-02	3.59E-01	5.56E-03	bad-chisq
group_11081	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
